effect	n
[gunshot]	7
[gunshots]	2
[hatch door closing]	1
[hatch door opening]	1
[haunting music]	1
[heavy footsteps approaching]	1
[helo coughing]	2
[helo laughs]	2
[helo panting]	4
[helo whistling a tune]	1
[helo yelps]	1
[hissing]	1
[hotdog's voice distorting]	1
[hubbub continues]	1
[humming]	1
[inaudible]	4
[kara laughs]	1
[kat's voice distorting]	2
[kat screaming]	2
[kat whooping]	1
[knocking on door]	6
[laughing continues]	1
[laughing mockingly]	1
[laughing]	9
[laughs]	5
[leaves rustling]	2
[leoben coughing]	2
[leoben exclaims]	1
[leoben gasping and choking]	1
[leoben groaning]	1
[leoben gurgling]	1
[leoben laughs]	1
[light instrumental music playing]	1
[light orchestral music]	1
[liquid dripping]	1
[lntense instrumental music continues]	3
[lntense instrumental music]	20
[loud banging]	2
[loud beeping]	1
[loud crashing]	1
[machine buzzing]	1
[machine humming]	1
[machines beeping]	4
[machines humming]	1
[machines whirring]	1
[man's voice on pa system]	1
[man chattering on pa system]	2
[man chattering on radio]	1
[man chattering]	2
[mason groaning]	1
[mason screaming]	1
[mechanical whirring]	1
[melancholic instrumental music]	2
[men chattering]	8
[men laughing]	1
[men panting]	1
[men shouting]	1
[metal clangs]	1
[metallic rolling]	1
[microphone feeding back]	1
[microphone screeching]	1
[military instrumental music]	1
[moaning]	2
[monitor beeping]	1
[muffled speech]	1
[mumbling]	1
[music continues playing]	2
[music intensifies]	1
[music playing]	1
[mysterious instrumental music intensifies]	1
[mysterious instrumental music]	3
[notebook thudding]	1
[ominous instrumental music intensifies]	3
[ominous instrumental music]	8
[on pa system]	1
[on phone]	1
[on radio]	12
[on wireless]	1
[opera music continues]	1
[opera music playing]	1
[opera music stops]	1
[orchestral music continues]	1
[orchestral music swells]	1
[over pa system]	2
[over pa]	4
[pa system beeping]	2
[panting]	25
[pants and grunts]	1
[pants]	1
[people chattering]	12
[people clamoring]	2
[people laughing]	1
[people mumbling]	1
[people murmuring]	3
[people screaming]	1
[people shouting]	3
[people whistling]	1
[people yelling]	1
[phone buzzing]	3
[phone clicks]	1
[phone ringing]	2
[pilots chattering]	2
[pilots cheering]	2
[pilots chuckling]	1
[pilots exclaiming]	1
[pilots singing and cheering]	1
[ping]	1
[plants rustling]	1
[prisoner grunting]	2
[prisoner grunts]	1
[prisoners shouting]	1
[prisoners yelling]	1
[quavering]	1
[racetrack sighing in fear]	1
[radio feedback]	1
[radio tuning]	1
[rain pattering]	2
[rapid beeping]	1
[rapid electronic beeping]	1
[rapid gunshots firing]	1
[rapping on table]	1
[rasping]	1
[reporters chattering]	1
[reporters clamoring]	1
[reporters exclaiming together]	1
[reporters whispering]	1
[robots grunting]	1
[robots screeching]	1
[roslin panting]	1
[rumbling]	7
[scoffing]	1
[scoffs]	4
[screaming]	17
[screams in pain]	1
[screams]	2
[seaborne grunting]	1
[seagulls cawing]	1
[seductive instrumental music continues]	1
[seductive instrumental music]	1
[seductive music stops]	1
[serious instrumental music]	1
[sharon crying]	2
[sharon groaning]	1
[sharon moaning]	1
[sharon screaming]	1
[ship humming]	1
[ship rumbling]	1
[shushing]	3
[sighing]	25
[sighs softly]	1
[sighs]	15
[signal beeping]	1
[sinister instrumental music]	3
[siren sounding]	1
[slow footsteps]	1
[slow instrumental music]	3
[smirking]	1
[snare drums sounding military drumbeat]	1
[snickers]	1
[sniffing]	1
[sniffles]	1
[sniffs]	2
[sobbing]	8
[sober instrumental music]	1
[soft instrumental music continues]	2
[soft instrumental music]	7
[solemn instrumental music continues]	6
[solemn instrumental music intensifies]	1
[solemn instrumental music]	15
[sombre instrumental music continues]	1
[sombre instrumental music intensifies]	1
[sombre instrumental music]	16
[soothing instrumental music]	1
[spacecraft engine droning]	1
[spacecraft engine starting]	1
[spanner clanking]	1
[squeaking]	1
[stammering]	2
[starbuck and apollo laughing]	1
[starbuck chokes]	1
[starbuck chuckles]	1
[starbuck clears her throat]	1
[starbuck clears throat]	2
[starbuck coughing]	1
[starbuck exclaiming in pain]	4
[starbuck exhales]	1
[starbuck gasping]	1
[starbuck giggles]	1
[starbuck giggling]	1
[starbuck groaning]	1
[starbuck groans]	1
[starbuck grunting in pain]	1
[starbuck grunting]	3
[starbuck grunts]	2
[starbuck laughing]	2
[starbuck laughs dryly]	1
[starbuck laughs]	1
[starbuck panting heavily]	2
[starbuck panting hysterically]	1
[starbuck panting]	2
[starbuck screams maniacally]	1
[starbuck sniffs]	1
[starbuck wheezing]	1
[starbuck whooping]	1
[static buzzing]	1
[struggles and pants]	2
[stuttering]	3
[suspenseful instrumental music continues]	4
[suspenseful instrumental music intensifies]	1
[suspenseful instrumental music]	21
[sympathetic instrumental music]	1
[sympathetically]	1
[system beeping]	1
[tap squeaking]	1
[tarn groaning]	1
[tense instrumental music continues]	20
[tense instrumental music intensifies]	12
[tense instrumental music]	54
[tense music reaches crescendo]	1
[theme music]	20
[thrilling instrumental music]	1
[thudding]	5
[thunder clapping]	1
[thunder rumbling]	7
[ticking]	1
[tigh and ellen chuckling]	1
[tigh exhaling]	1
[tigh grunting and groaning]	1
[tigh grunts]	1
[tigh moaning]	1
[toilet flushing]	1
[truck engine droning]	1
[tyrol clears throat]	1
[tyrol laughs]	1
[tyrol screaming]	1
[tyrol sighs heavily]	1
[upbeat jazzy instrumental music playing]	1
[venner breathing heavily]	1
[warning system beeping]	2
[water running]	1
[wheezing]	1
[whispering continues]	1
[whispering]	13
[whispers]	1
[whooping]	2
[whooshing]	1
[wind blowing]	1
[wind howling]	2
[wind whistling]	1
[woman chattering on pa system]	1
[woman screams]	1
[yells]	1
[zarek scoffs]	1
[zarek sighs]	1
